iter	Passed	Remaining
0	230	115107
1	309	76946
2	395	65543
3	479	59519
4	540	53500
5	618	50952
6	689	48569
7	763	46980
8	831	45363
9	904	44320
10	975	43360
11	1047	42591
12	1122	42037
13	1196	41531
14	1272	41138
15	1345	40707
16	1417	40275
17	1491	39932
18	1565	39625
19	1638	39327
20	1711	39034
21	1783	38753
22	1854	38467
23	1926	38203
24	1997	37945
25	2068	37707
26	2138	37468
27	2212	37291
28	2286	37129
29	2358	36947
30	2434	36827
31	2512	36742
32	2587	36612
33	2666	36540
34	2741	36416
35	2793	36000
36	2842	35574
37	2922	35526
38	3014	35629
39	3083	35457
40	3153	35308
41	3246	35405
42	3323	35322
43	3390	35141
44	3483	35217
45	3579	35324
46	3657	35254
47	3728	35112
48	3803	35008
49	3888	34996
50	3965	34910
51	4039	34799
52	4110	34671
53	4194	34643
54	4297	34771
55	4363	34595
56	4439	34501
57	4511	34381
58	4543	33958
59	4619	33877
60	4704	33854
61	4779	33763
62	4856	33685
63	4928	33573
64	5016	33569
65	5086	33446
66	5157	33329
67	5227	33212
68	5307	33153
69	5393	33129
70	5467	33038
71	5540	32936
72	5621	32883
73	5713	32893
74	5785	32785
75	5860	32695
76	5945	32661
77	6016	32548
78	6091	32460
79	6142	32246
80	6226	32208
81	6308	32157
82	6382	32065
83	6458	31984
84	6529	31876
85	6602	31781
86	6679	31710
87	6755	31626
88	6825	31517
89	6902	31446
90	6977	31360
91	7048	31260
92	7126	31188
93	7197	31085
94	7226	30806
95	7296	30707
96	7369	30616
97	7444	30537
98	7515	30439
99	7593	30373
100	7669	30299
101	7755	30262
102	7834	30195
103	7910	30121
104	7991	30062
105	8075	30014
106	8135	29879
107	8184	29705
108	8277	29694
109	8354	29619
110	8430	29544
111	8509	29479
112	8590	29421
113	8658	29318
114	8738	29254
115	8820	29197
116	8900	29135
117	8978	29065
118	9065	29024
119	9143	28955
120	9221	28883
121	9254	28673
122	9324	28581
123	9372	28418
124	9444	28334
125	9521	28262
126	9598	28189
127	9654	28057
128	9719	27954
129	9796	27881
130	9877	27823
131	9952	27745
132	10029	27674
133	10096	27576
134	10166	27487
135	10197	27293
136	10267	27203
137	10342	27131
138	10415	27051
139	10487	26967
140	10563	26895
141	10634	26809
142	10707	26731
143	10779	26650
144	10848	26559
145	10923	26485
146	11003	26423
147	11076	26344
148	11154	26277
149	11229	26202
150	11301	26121
151	11361	26011
152	11417	25893
153	11487	25809
154	11565	25741
155	11643	25674
156	11716	25597
157	11794	25529
158	11872	25462
159	11945	25384
160	12020	25309
161	12065	25174
162	12137	25094
163	12218	25033
164	12300	24973
165	12375	24900
166	12452	24829
167	12527	24755
168	12600	24678
169	12674	24602
170	12748	24527
171	12792	24395
172	12827	24246
173	12900	24170
174	12973	24094
175	13051	24027
176	13129	23959
177	13206	23890
178	13294	23841
179	13370	23769
180	13446	23697
181	13514	23613
182	13556	23482
183	13629	23407
184	13704	23334
185	13777	23259
186	13874	23223
187	13948	23148
188	14022	23073
189	14100	23005
190	14181	22942
191	14254	22866
192	14324	22786
193	14402	22716
194	14501	22682
195	14576	22607
196	14651	22535
197	14730	22467
198	14800	22387
199	14874	22311
200	14949	22238
201	15002	22132
202	15076	22057
203	15152	21985
204	15185	21852
205	15261	21781
206	15338	21710
207	15414	21639
208	15489	21566
209	15567	21498
210	15644	21427
211	15720	21355
212	15795	21282
213	15871	21211
214	15944	21136
215	16023	21067
216	16100	20997
217	16176	20924
